Sa [cm/s^2],EDP [cm]
129.4593307,4.056519238
398.1499266,8.451059378
299.8123124,5.801882332
212.5674558,2.79861721
200.1563928,2.820993595
198.0510272,3.545425469
190.2112997,3.177192008
221.8949486,4.598057107
224.8753688,5.208906388
324.2561851,4.541123991
451.5256194,6.050719007
273.6579961,5.678454246
198.7908401,3.850154038
294.9027474,2.932844385
239.3365653,3.151714318
134.9460968,2.109638841
343.6802968,3.591461111
253.7546586,3.868323104
233.9650614,3.952665573
279.9777667,6.235279861
248.340569,4.786759446
140.6926922,3.561808686
203.2898044,2.840937807
204.8594967,3.76919942
170.7167646,4.630992307
485.8554131,5.50167124
145.1314802,3.211427908
174.6480579,4.288854818
156.8014774,2.184927311
126.0454406,2.763309896
200.4385094,2.703166763
192.8383479,2.937712202
452.1864178,5.1971508
195.1333689,2.942315882
132.7680806,2.337100007
468.1365753,5.100354727
393.2935933,4.741538547
196.9296674,3.835374128
107.7525011,3.343495522
177.9111281,2.104579583
203.9050036,3.223402723
250.0665492,4.379606748
194.0176402,3.77791438
270.6378884,5.429715094
264.1299002,4.317022526
121.5737586,1.515324346
140.2630077,3.128281585
154.6606746,3.564087142
172.6790265,2.659414859
188.6482303,3.010657752
220.7890877,3.152651983
52.47793322,1.235096091
176.873157,2.450156219
394.7396518,7.591577153
132.612133,1.849958396
341.1741139,4.556940918
258.9934174,5.784758721
216.505509,3.98849514
239.2489506,3.537950723
104.7959849,1.909002842
210.8997571,3.914931125
468.2447362,7.986168609
229.9301001,4.539495753
223.8244086,5.786991094
155.1683129,2.185730301
216.3206818,3.445674507
244.9548744,2.343784834
268.4688845,4.692366026
184.0504845,3.877615133
196.2954983,3.434877344
570.9321232,4.733997711
75.52886235,0.987142234
629.2099144,12.54296467
257.437338,2.968973826
352.033807,6.54627053
100.0028346,1.970304627
166.1011268,2.918886494
192.474871,2.832909537
268.0036238,4.883606196
99.71809317,1.973512177
274.2688206,3.257022263
123.7659293,2.218680751
226.4636983,3.715153427
298.7114644,4.411018734
256.1631591,4.576912697
366.0364646,5.868076256
353.0357031,2.696432481
161.3928551,2.380533577
247.8307692,3.869110449
140.5006172,2.979712784
117.5578243,2.7634508
339.7424068,5.759659765
219.4976013,3.307148631
213.8714471,5.191558576
337.5510361,4.049449289
290.6697189,3.062671939
258.9787577,4.590602578
396.1973085,7.185231022
340.5399265,6.446521864
245.8145275,4.531423557
158.4128305,3.604985033
161.3436196,3.037352963
385.4624202,8.223766551
102.5058782,2.971037804
216.9707191,3.7044306
87.41963465,2.284645844
355.4488477,6.89414747
329.7635657,7.218087237
219.6129552,3.526775222
212.2692726,4.92258322
67.8191871,2.057830337
288.8340671,5.72599181
77.91774781,2.340038287
73.38609227,1.599501942
227.9387382,4.39808372
140.228554,3.488060009
266.5862939,3.74927977
302.2060365,3.309046248
329.1435836,5.803686895
158.3531248,3.029658764
271.400363,4.779900418
230.1784809,3.763303154
324.2572892,3.895336974
282.7570442,4.966208183
335.4466556,6.315280796
206.2301649,3.758142943
204.7485469,3.282293313
353.3187028,5.102918814
80.49087671,1.658289116
172.942793,2.14878656
120.43539,2.524116743
183.2024947,4.205137904
298.1931223,4.6275312
324.2047782,4.188279324
135.8943765,3.053095706
175.7027082,4.236698455
234.1696064,4.298869882
191.2243073,3.747155992
253.1269206,4.283969586
265.1345482,3.608980914
141.4606857,2.742024443
201.902831,4.591204816
80.17063973,1.728422802
377.045004,6.485303695
163.0647572,2.893236779
124.2930682,2.808372309
194.6803889,2.849689438
111.7710421,1.643159253
217.3404504,1.933730907
168.4216098,3.633102901
614.0390016,8.428324444
375.8187067,6.506435652
67.4803669,1.792266003
270.3701899,2.685073594
113.393534,2.31733217
194.5782908,5.501336563
237.2178868,4.905526522
312.4776357,4.536266928
192.9315842,2.943673907
462.1694348,5.705858432
174.8856471,3.304821058
256.2178785,4.281759655
300.463218,3.639937888
228.5052546,3.341014902
332.7737647,4.589692711
255.6980903,5.406735346
151.5479706,3.621715932
93.54982483,2.120886991
528.0976686,4.991353294
164.9676499,3.152797289
230.4751154,4.624905269
286.3878389,4.211545057
231.5923672,2.708413282
143.1570859,2.194659815
175.9814166,3.800158591
206.9179117,3.433216463
441.399007,6.691960776
146.1575304,2.940593405
317.9773067,5.797492199
253.9418693,5.190030982
196.5362278,3.771633229
133.2229716,2.925610612
191.9231528,3.63673789
210.6855922,2.63630222
109.6401723,2.796224549
240.3511419,5.104214517
148.8415416,2.99336203
209.9354955,3.320001321
257.2731752,3.537039426
143.1619654,1.786368142
191.5504091,3.329170484
258.9618249,4.810464404
92.2122772,2.486382243
358.0572212,5.041200784
689.9274693,7.408673735
345.3367634,7.900698554
189.0767755,5.086643204
268.7524914,7.827429269
