Sa [cm/s^2],EDP [cm]
374.6123414,5.72230905
183.1471633,3.029592813
275.7759773,4.244059232
169.9689263,2.363067932
227.6071452,4.22813758
346.0529118,5.465860524
246.6395122,4.858580142
179.5434533,3.471380821
171.1512295,2.749732735
207.4832523,3.153042302
200.1650314,3.271142786
185.2102291,3.46059603
235.2433074,3.307181126
298.5501813,4.629207949
200.5733156,2.599872976
201.7899149,2.849918694
127.4370848,2.362512115
86.56105038,1.662998003
169.0450265,3.557128052
175.4063639,3.737077408
264.5554815,4.724060831
493.7407428,4.499444124
450.0169257,4.03209186
208.7962106,4.078470867
157.3386646,2.94653501
308.2499728,5.333212951
306.1086773,5.741945438
297.723775,4.042550444
299.0506648,6.004706319
121.6978286,2.647898836
274.3248519,4.336222839
210.1357106,3.25052529
150.4927457,2.616363025
119.3342862,2.195027961
340.4247565,7.06605638
141.1543019,2.987711781
138.1632603,2.206933841
268.7825422,5.013042443
396.1904101,4.037809726
223.8395903,3.146316853
282.2274733,3.718135127
135.4961953,2.393257282
485.2214864,5.85951822
230.3990827,3.809175887
273.6632165,5.568314202
94.14075509,1.713636831
331.8340272,5.781290425
301.2328759,4.800991852
126.0549633,2.158048822
226.1034899,3.462041945
177.3389354,4.434638019
231.9316236,3.539428638
194.4689403,3.793959286
198.3454141,3.395413432
142.6285025,2.400554069
160.8808827,2.889157002
83.62438048,1.320520473
431.3563458,4.006318541
264.5587857,6.487047174
444.8705409,8.617846647
138.148045,2.671300715
427.7552571,8.659887449
323.7399981,5.735721321
240.6976118,4.780128313
204.3931694,3.792086677
161.4071949,2.576297377
302.7275048,4.732315886
154.5051631,2.947374883
107.0227923,1.544273303
309.8826617,5.111801204
270.6140178,4.320989569
287.134309,3.465942148
260.6690196,4.214993511
199.2971212,4.055363657
192.5413303,3.450485403
335.9008396,6.190172436
175.3848104,3.878396645
334.9497994,4.660225516
320.774699,6.030397205
359.7894052,7.514193114
220.9623226,3.654045412
258.5734662,4.358381853
479.354809,6.596809299
205.3563936,3.470184709
105.3140982,1.783458484
371.00203,4.560346086
257.1261704,4.108797132
184.1505365,2.45402896
803.9087151,7.478142631
153.4182653,2.311501321
264.136406,4.237475823
248.9137067,4.262884251
191.7088868,3.424948345
132.3716104,2.30383352
87.05647987,1.467334501
199.7948123,3.169063601
143.4872815,2.21165545
291.4260929,5.525757297
187.7310438,3.073385268
352.1717791,5.909254894
294.9676176,4.72690896
238.8576,3.820277279
141.63083,2.389267325
494.8893055,4.351721681
163.2241017,2.738450499
432.6499911,5.324845789
153.3211219,2.662764877
188.4831188,3.675273096
115.6563468,2.140949665
260.0292046,5.618723296
142.5975432,2.507978067
98.56331535,1.915487564
290.3556395,4.631532676
182.3681707,2.91771768
266.9210399,4.761450808
190.9108781,3.352020528
255.8938986,4.363828811
84.49792141,1.522720343
414.1907267,5.407568387
326.956398,4.025965423
300.0015962,4.294511265
334.1083311,3.124011826
190.778123,4.334766511
252.7116585,4.477768186
240.1467646,5.466997633
227.4510807,3.727687944
165.5124041,2.795099571
159.2795355,2.811339603
207.2473643,3.677794997
154.2743716,2.69451825
329.1265062,5.425945331
620.5820159,4.603965671
90.27054467,1.715031237
228.972869,4.16817643
115.5108023,2.003763582
327.8064935,4.572110461
649.122033,5.237367953
108.1212661,1.80788989
456.4076398,5.241050524
81.66750452,1.584470949
275.1545893,3.929997815
318.008285,3.68810912
228.5577522,3.862271765
387.3078694,4.225589358
401.0271858,5.288322451
255.4445488,3.385756285
131.164125,2.436975864
151.870951,2.550582992
142.9874811,2.546410485
96.94308853,1.797373462
122.0179739,2.233949308
252.4504158,4.73664525
456.8803501,5.122062437
184.0061766,2.699997499
197.2741105,3.556964982
606.9574854,5.185457215
468.1286646,8.527025549
272.5513744,4.05433787
640.4456579,7.186987635
309.6443011,4.476000381
179.8664788,2.978449023
267.530147,4.665040342
158.2179854,3.262653291
170.2854581,2.754198436
273.8239276,7.353456423
226.8564715,4.352825206
197.5052834,2.410552761
248.1969567,5.343928768
302.0846316,5.52941382
242.4903736,4.205221787
233.4149292,3.676550775
242.5013672,3.780930043
222.586451,3.063745259
113.9464266,2.018237626
288.8876475,5.187334704
773.1249249,6.483408503
184.0245319,3.074334679
538.4334587,9.502927813
182.1375807,3.007285789
388.4325288,9.168365219
208.003913,2.75399666
197.9452353,3.323684653
151.8540074,2.801149721
127.6655879,2.36209968
173.4055669,3.008243559
291.5621585,5.069135746
317.5662015,5.990243832
278.8385836,5.687477277
72.88336003,1.322361814
353.3152035,5.561495731
429.4646789,7.849373471
311.631364,5.243077238
97.37113349,1.762053094
189.5707907,3.86453512
282.8593759,5.195680195
292.9797292,3.708803748
153.4438282,2.678124554
164.1014863,2.294796544
271.2620701,4.349811239
213.7169548,4.829563105
254.738795,3.187658316
156.3739037,3.390869029
141.7000878,2.29660386
344.2546963,4.857137912
309.6874673,4.137212565
447.9190839,4.240786016
122.3137024,2.142675122
143.0095633,2.380325716
119.5212547,1.934287527
216.8478422,3.688930334
145.8000958,2.395149037
397.741078,5.094132912
119.5194305,2.148431403
98.12622752,1.785781166
234.9552072,3.832779623
312.3824322,4.646350928
174.1090401,2.907998012
142.1782988,2.370236311
180.3917685,2.799796067
149.9974902,2.358995687
222.1472565,2.755540553
409.2161498,6.879184373
256.3985947,4.290827924
120.3065771,2.240525767
192.5632866,3.68687557
103.0000628,1.781755476
219.8261122,3.284347879
202.3646291,2.836239586
829.6636784,5.871008142
333.2243618,5.952037022
215.7940499,6.290638152
396.2502623,5.805077086
131.0733949,2.011873036
192.3619741,3.400478536
436.7162573,4.986540162
422.9169074,5.899007441
286.4811027,4.53167826
253.043055,3.445232458
181.4008356,3.014708568
450.5195181,7.163014001
127.4081909,2.581067624
293.4289528,5.392230837
262.132848,7.758078443
346.5289326,4.082773012
194.3265437,3.522369426
301.7713091,4.550624113
347.8913385,5.50982593
176.5546906,2.772504779
233.545731,3.768769775
574.284818,5.448362112
232.7238601,3.697791196
178.4063231,2.96456291
253.3990508,3.443043636
185.451289,3.194161424
304.8068923,6.249741398
198.0589108,3.214921381
217.5118147,3.698680658
279.1977801,3.654068822
